# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Apr 12 09:35:19 2023
#
# User preference: *
#
# CONSTRAINT:  where (pl_orbperstr > 0
# CONSTRAINT:  and pl_orbeccenstr > 0)
#
# COLUMN pl_name:        Planet Name
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
#
pl_name,discoverymethod,disc_year,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim
XO-2 N b,Transit,2007,2.61585922,0.00000028,-0.00000028,0,0.006000,,,1
Kepler-25 c,Transit,2011,12.72070000,0.00011000,-0.00010000,0,0.006100,0.004900,-0.004100,0
WASP-19 b,Transit,2009,0.78883960,0.00000100,-0.00000100,0,0.006100,,,1
WASP-43 b,Transit,2011,0.81347437,0.00000013,-0.00000013,0,0.006200,,,1
GJ 876 c,Radial Velocity,2000,30.22902000,0.00052000,-0.00055000,0,0.006900,0.006300,-0.005000,0
Kepler-16 b,Transit,2011,228.77600000,0.02000000,-0.03700000,0,0.006900,0.001000,-0.001500,0
ups And b,Radial Velocity,1996,4.61712200,0.00001200,-0.00001200,0,0.006900,0.007200,-0.004600,0
CoRoT-30 b,Transit,2020,9.06005000,0.00024000,-0.00024000,0,0.007000,0.031000,-0.031000,0
HAT-P-13 b,Transit,2009,2.91623830,0.00000220,-0.00000220,0,0.007000,0.001000,-0.001000,0
Kepler-82 c,Transit,2012,51.54000000,0.94000000,-0.94000000,0,0.007000,0.001600,-0.001800,0
WASP-156 b,Transit,2017,3.83616900,0.00000300,-0.00000300,0,0.007000,,,1
HAT-P-32 b,Transit,2011,2.15000805,0.00000093,-0.00000097,0,0.007200,0.070000,-0.006400,0
HAT-P-4 b,Transit,2007,3.05652540,0.00000120,-0.00000120,0,0.007300,,,1
WASP-77 A b,Transit,2012,1.36002854,0.00000062,-0.00000062,0,0.007400,0.006900,-0.004900,0
tau Boo b,Radial Velocity,1996,3.31245340,0.00000500,-0.00000570,0,0.007400,0.005900,-0.004800,0
WASP-77 A b,Transit,2012,1.36003090,0.00000200,-0.00000200,0,0.007500,,,1
WASP-18 b,Transit,2009,0.94145230,0.00000030,-0.00000030,0,0.007570,0.001000,-0.001000,0
WASP-19 b,Transit,2009,0.78883900,0.00000020,-0.00000020,0,0.007700,0.006800,-0.003200,0
CoRoT-3 b,Transit,2008,4.25679940,0.00000390,-0.00000310,0,0.008000,0.015000,-0.005000,0
HD 192263 b,Radial Velocity,1999,24.35870000,0.00220000,-0.00220000,0,0.008000,0.014000,-0.014000,0
HD 83443 b,Radial Velocity,2002,2.98562500,0.00006000,-0.00006000,0,0.008000,0.025000,-0.025000,0
HD 86081 b,Radial Velocity,2006,2.13750000,0.00020000,-0.00020000,0,0.008000,0.004000,-0.004000,0
Kepler-51 d,Transit,2014,130.19400000,0.00500000,-0.00200000,0,0.008000,0.011000,-0.008000,0
HD 209458 b,Radial Velocity,1999,3.52474859,0.00000038,-0.00000038,0,0.008100,,,1
WASP-18 b,Transit,2009,0.94145290,0.00000078,-0.00000086,0,0.008480,0.000850,-0.000950,0
HAT-P-18 b,Transit,2010,5.50797800,0.00004300,-0.00004300,0,0.009000,0.030000,-0.009000,0
HD 177830 b,Radial Velocity,1999,406.60000000,0.40000000,-0.40000000,0,0.009000,0.004000,-0.004000,0
HIP 65 A b,Transit,2020,0.98100000,,,0,0.009000,,,0
WASP-153 b,Transit,2017,3.33260900,0.00000200,-0.00000200,0,0.009000,,,1
WASP-50 b,Transit,2011,1.95509590,0.00000510,-0.00000510,0,0.009000,0.011000,-0.006000,0
WASP-18 b,Transit,2009,0.94145260,0.00000160,-0.00000150,0,0.009100,,,0
WASP-18 b,Transit,2009,0.94145299,0.00000087,-0.00000087,0,0.009200,0.002800,-0.002800,0
HD 187123 b,Radial Velocity,1998,3.09658860,0.00000430,-0.00000430,0,0.009300,0.004600,-0.004600,0
KELT-1 b,Transit,2012,1.21751400,0.00001500,-0.00001500,0,0.009900,0.010000,-0.006900,0
HAT-P-3 b,Transit,2007,2.89973600,0.00000200,-0.00000200,0,0.010000,,,1
HD 109749 b,Radial Velocity,2005,5.24000000,0.00200000,-0.00200000,0,0.010000,0.010000,-0.010000,0
HD 147379 b,Radial Velocity,2017,86.54000000,0.07000000,-0.06000000,0,0.010000,0.120000,-0.010000,0
HD 159868 b,Radial Velocity,2006,1178.40002000,8.80000000,-8.80000000,0,0.010000,0.020000,-0.020000,0
HD 159868 b,Radial Velocity,2006,1178.40000000,8.80000000,-8.80000000,0,0.010000,0.030000,-0.030000,0
HD 187123 b,Radial Velocity,1998,3.09660000,0.00020000,-0.00020000,0,0.010000,0.030000,-0.030000,0
HD 190360 c,Radial Velocity,2005,17.10000000,0.01500000,-0.01500000,0,0.010000,0.100000,-0.100000,0
HD 195019 b,Radial Velocity,1998,18.20132000,0.00039000,-0.00039000,0,0.010000,0.000000,0.000000,0
HD 209458 b,Radial Velocity,1999,3.52476000,0.00001300,-0.00001300,0,0.010000,0.011000,-0.007400,0
HD 24040 b,Radial Velocity,2006,3498.00000000,23.00000000,-23.00000000,0,0.010000,0.015000,-0.009000,0
HD 32518 b,Radial Velocity,2009,157.54000000,0.38000000,-0.38000000,0,0.010000,0.030000,-0.030000,0
HD 83443 b,Radial Velocity,2002,2.98570000,0.00005700,-0.00005700,0,0.010000,0.010000,-0.010000,0
HD 86081 b,Radial Velocity,2006,2.13750000,0.00020000,-0.00020000,0,0.010000,0.000000,0.000000,0
HD 89307 b,Radial Velocity,2009,2900.00000000,1100.00000000,-1100.00000000,0,0.010000,0.160000,-0.160000,0
Kepler-12 b,Transit,2011,4.43796370,0.00000020,-0.00000020,0,0.010000,,,1
Kepler-129 b,Transit,2014,15.79161900,0.00005300,-0.00005300,0,0.010000,0.240000,-0.010000,0
Kepler-138 c,Transit,2014,13.78110882,0.00000750,-0.00000745,0,0.010000,0.180000,-0.010000,0
Kepler-138 d,Transit,2014,23.08892030,0.00002320,-0.00002470,0,0.010000,0.140000,-0.010000,0
Kepler-138 d,Transit,2014,23.09230000,0.00060000,-0.00060000,0,0.010000,0.005000,-0.005000,0
Kepler-1650 b,Transit,2017,1.53818001,0.00000155,-0.00000154,0,0.010000,0.150000,-0.010000,0
Kepler-25 c,Transit,2011,12.72036780,0.00000350,-0.00000350,0,0.010000,0.070000,-0.010000,0
Kepler-445 c,Transit,2015,4.87122714,0.00000636,-0.00000638,0,0.010000,0.160000,-0.010000,0
Kepler-445 d,Transit,2015,8.15272856,0.00006453,-0.00007041,0,0.010000,0.160000,-0.010000,0
Kepler-46 b,Transit,2012,33.60134000,0.00021000,-0.00020000,0,0.010000,0.010000,-0.010000,0
Kepler-51 c,Transit,2012,85.31390000,0.00170000,-0.00170000,0,0.010000,0.020000,-0.010000,0
Kepler-51 d,Transit,2014,130.18450000,0.00070000,-0.00070000,0,0.010000,0.010000,-0.010000,0
NGTS-8 b,Transit,2019,2.49970000,0.00001000,-0.00001000,0,0.010000,0.014000,-0.010000,0
TOI-1518 b,Transit,2021,1.90260300,0.00001100,-0.00001100,0,0.010000,,,1
WASP-18 b,Transit,2009,0.94145000,0.00000100,-0.00000100,0,0.010000,0.000000,0.000000,0
WASP-47 d,Transit,2015,9.03055000,0.00008000,-0.00008000,0,0.010000,0.011000,-0.007000,0
WASP-50 b,Transit,2011,1.95510000,0.00000500,-0.00000500,0,0.010000,0.010000,-0.010000,0
WASP-99 b,Transit,2014,5.75251000,0.00004000,-0.00004000,0,0.010000,,,1
HD 187123 b,Radial Velocity,1998,3.09658280,0.00000780,-0.00000780,0,0.010300,0.005900,-0.005900,0
Kepler-60 b,Transit,2012,7.13200000,0.00050000,-0.00050000,0,0.010800,,,0
WASP-34 b,Transit,2010,4.31767790,0.00000450,-0.00000450,0,0.010900,0.015000,-0.007800,0
HAT-P-1 b,Transit,2006,4.46529976,0.00000055,-0.00000055,0,0.011000,,,1
HD 130322 b,Radial Velocity,1999,10.70850000,0.00030000,-0.00030000,0,0.011000,0.020000,-0.020000,0
HD 202696 b,Radial Velocity,2019,517.80000000,8.90000000,-3.90000000,0,0.011000,0.078000,-0.011000,0
HD 62509 b,Radial Velocity,2006,596.60000000,2.26000000,-2.26000000,0,0.011000,0.033000,-0.033000,0
Kepler-138 c,Transit,2014,13.78156400,0.00008200,-0.00009500,0,0.011000,0.006900,-0.003600,0
Kepler-17 b,Transit,2011,1.48571080,0.00000020,-0.00000020,0,0.011000,,,1
Pr0211 b,Radial Velocity,2012,2.14610000,0.00003000,-0.00003000,0,0.011000,0.012000,-0.008000,0
Qatar-2 b,Transit,2011,1.33711647,0.00000026,-0.00000026,0,0.011000,,,1
tau Boo b,Radial Velocity,1996,3.31245680,0.00000690,-0.00000690,0,0.011000,0.006000,-0.006000,0
Kepler-30 c,Transit,2012,60.32310500,0.00024400,-0.00024400,0,0.011100,0.001000,-0.001000,0
KOI-1599.02,Transit,2019,13.60880000,0.00060000,-0.00060000,0,0.011400,,,0
HD 86081 b,Radial Velocity,2006,2.13784310,0.00000310,-0.00000310,0,0.011900,0.004700,-0.004700,0
47 UMa b,Radial Velocity,1996,1076.60000000,2.30000000,-2.30000000,0,0.012000,0.023000,-0.023000,0
HD 24040 b,Radial Velocity,2006,3552.00000000,11.00000000,-11.00000000,0,0.012000,0.011000,-0.008200,0
HD 83443 b,Radial Velocity,2002,2.98569800,0.00005700,-0.00005700,0,0.012000,0.023000,-0.023000,0
HD 83443 b,Radial Velocity,2002,2.98562800,0.00000500,-0.00000500,0,0.012000,0.007000,-0.006000,0
Kepler-11 e,Transit,2010,31.99960000,0.00080000,-0.00120000,0,0.012000,0.006000,-0.006000,0
Kepler-79 e,Transit,2014,81.06590000,0.00130000,-0.00110000,0,0.012000,0.044000,-0.005000,0
Qatar-1 b,Transit,2010,1.42002504,0.00000071,-0.00000071,0,0.012000,,,1
TOI-1136 f,Transit,2022,26.31620000,0.00170000,-0.00130000,0,0.012000,0.019000,-0.009700,0
TrES-1 b,Transit,2004,3.03006973,0.00000018,-0.00000018,0,0.012000,,,1
WASP-114 b,Transit,2016,1.54877430,0.00000120,-0.00000091,0,0.012000,0.022000,-0.009000,0
WASP-5 b,Transit,2008,1.62842953,0.00000052,-0.00000052,0,0.012000,,,1
Wendelstein-1 b,Transit,2020,2.66341600,0.00000100,-0.00000100,0,0.012000,,,1
ups And b,Radial Velocity,1996,4.61711100,0.00001400,-0.00001400,0,0.012000,0.005000,-0.005000,0
WASP-19 b,Transit,2009,0.78883852,0.00000075,-0.00000082,0,0.012600,0.014000,-0.008900,0
51 Peg b,Radial Velocity,1995,4.23078500,0.00003600,-0.00003600,0,0.013000,0.012000,-0.012000,0
HAT-P-13 b,Transit,2009,2.91623830,0.00000220,-0.00000220,0,0.013000,,,1
HATS-4 b,Transit,2014,2.51672900,0.00000200,-0.00000200,0,0.013000,0.016000,-0.016000,0
HATS-72 b,Transit,2020,7.32794740,0.00000160,-0.00000160,0,0.013000,,,1
HD 149026 b,Radial Velocity,2005,2.87589160,0.00000140,-0.00000140,0,0.013000,,,1
HD 37605 c,Radial Velocity,2012,2720.00000000,57.00000000,-57.00000000,0,0.013000,0.015000,-0.015000,0
HD 83443 b,Radial Velocity,2002,2.98565000,0.00003000,-0.00003000,0,0.013000,0.013000,-0.013000,0
Kepler-11 e,Transit,2010,32.00413000,0.00212000,-0.00240000,0,0.013000,0.004000,-0.006000,0
Kepler-11 f,Transit,2010,46.68880000,0.00270000,-0.00320000,0,0.013000,0.011000,-0.009000,0
TOI-1278 b,Transit,2021,14.47567000,0.00021000,-0.00021000,0,0.013000,0.004000,-0.004000,0
WASP-1 b,Transit,2007,2.51994480,0.00000050,-0.00000050,0,0.013000,,,1
WASP-2 b,Transit,2007,2.15222163,0.00000042,-0.00000042,0,0.013000,,,1
ups And b,Radial Velocity,1996,4.61713600,0.00004700,-0.00004700,0,0.013000,0.016000,-0.016000,0
HAT-P-13 b,Transit,2009,2.91623820,0.00000160,-0.00000160,0,0.013300,0.004100,-0.004100,0
HAT-P-13 b,Transit,2009,2.91623810,0.00000210,-0.00000220,0,0.013300,0.004700,-0.004400,0
HAT-P-13 b,Transit,2009,2.91625000,0.00001500,-0.00001500,0,0.013300,0.004100,-0.004100,0
HAT-P-13 b,Transit,2009,2.91624330,0.00000120,-0.00000120,0,0.013300,0.004500,-0.004500,0
HD 195019 b,Radial Velocity,1998,18.20132000,0.00039000,-0.00039000,0,0.013800,0.004400,-0.004400,0
55 Cnc b,Radial Velocity,1996,14.65162000,0.00070000,-0.00070000,0,0.014000,0.008000,-0.008000,0
HD 195019 b,Radial Velocity,1998,18.20163000,0.00040000,-0.00040000,0,0.014000,0.004400,-0.004400,0
HD 195019 b,Radial Velocity,1998,18.20080000,0.00030000,-0.00030000,0,0.014000,0.004000,-0.004000,0
HD 34445 b,Radial Velocity,2009,1056.70000000,4.70000000,-4.70000000,0,0.014000,0.035000,-0.014000,0
HD 75289 b,Radial Velocity,1999,3.50800000,0.00100000,-0.00100000,0,0.014000,0.005000,-0.005000,0
KOI-1599.01,Transit,2019,20.44150000,0.00130000,-0.00130000,0,0.014000,,,0
Kepler-51 c,Transit,2012,85.31200000,0.00300000,-0.00200000,0,0.014000,0.013000,-0.009000,0
Kepler-65 d,Transit,2012,8.13167000,0.00024000,-0.00021000,0,0.014000,0.016000,-0.010000,0
WASP-47 d,Transit,2015,9.03077000,0.00017000,-0.00017000,0,0.014000,,,1
WASP-48 b,Transit,2011,2.14363400,0.00000300,-0.00000300,0,0.014000,,,1
CoRoT-2 b,Transit,2008,1.74299350,0.00000100,-0.00000100,0,0.014300,0.007700,-0.007600,0
Kepler-46 c,Transit Timing Variations,2012,57.01100000,0.05100000,-0.06100000,0,0.014600,0.003400,-0.003600,0
HAT-P-20 b,Transit,2010,2.87531700,0.00000400,-0.00000400,0,0.015000,0.005000,-0.005000,0
HD 130322 b,Radial Velocity,1999,10.70867000,0.00017000,-0.00017000,0,0.015000,0.016000,-0.010000,0
HD 27894 c,Radial Velocity,2017,36.07000000,0.26000000,-0.09000000,0,0.015000,0.020000,-0.002000,0
HD 5319 b,Radial Velocity,2007,638.60000000,1.20000000,-1.20000000,0,0.015000,0.016000,-0.016000,0
Kepler-11 c,Transit,2010,13.02426000,0.00060000,-0.00064000,0,0.015000,0.012000,-0.011000,0
Kepler-79 b,Transit,2012,13.48450000,0.00020000,-0.00020000,0,0.015000,0.012000,-0.006000,0
TrES-4 b,Transit,2007,3.55392771,0.00000047,-0.00000047,0,0.015000,,,1
WASP-104 b,Transit,2014,1.75541370,0.00000300,-0.00000300,0,0.015000,,,1
WASP-18 c,Transit Timing Variations,2019,2.15580000,0.00640000,-0.00640000,0,0.015000,,,1
WASP-67 b,Transit,2012,4.61441090,0.00000270,-0.00000270,0,0.015000,,,1
Kepler-60 d,Transit,2012,11.90300000,0.00100000,-0.00100000,0,0.015100,,,0
HAT-P-20 b,Transit,2010,2.87531860,0.00000020,-0.00000020,0,0.015800,0.002300,-0.001800,0
55 Cnc b,Radial Velocity,1996,14.65126000,0.00070000,-0.00070000,0,0.015900,0.008000,-0.008000,0
47 UMa b,Radial Velocity,1996,1076.60000000,1.30000000,-1.10000000,0,0.016000,0.007600,-0.008000,0
CoRoT-3 b,Transit,2008,4.25679940,0.00000350,-0.00000350,0,0.016000,,,1
HAT-P-22 b,Transit,2010,3.21222000,0.00000900,-0.00000900,0,0.016000,0.009000,-0.009000,0
HAT-P-22 b,Transit,2010,3.21223120,0.00000120,-0.00000120,0,0.016000,0.009000,-0.009000,0
HAT-P-30 b,Transit,2011,2.81059500,0.00000500,-0.00000500,0,0.016000,,,1
HD 149143 b,Radial Velocity,2005,4.07200000,0.70000000,-0.70000000,0,0.016000,0.010000,-0.010000,0
HD 179949 b,Radial Velocity,2000,3.09253500,0.00001700,-0.00001600,0,0.016000,0.017000,-0.011000,0
Kepler-411 e,Transit Timing Variations,2018,31.50972800,0.00008500,-0.00008500,0,0.016000,0.002000,-0.001000,0
NGTS-1 b,Transit,2017,2.64729800,0.00002000,-0.00002000,0,0.016000,0.023000,-0.012000,0
TOI-1136 d,Transit,2022,12.51937000,0.00037000,-0.00041000,0,0.016000,0.013000,-0.010000,0
TOI-500 d,Radial Velocity,2022,26.23300000,0.02000000,-0.02000000,0,0.016000,0.017000,-0.011000,0
TrES-4 b,Transit,2007,3.55392771,0.00000047,-0.00000047,0,0.016000,,,1
WASP-13 b,Transit,2009,4.35301100,0.00001300,-0.00001300,0,0.016000,,,1
WASP-65 b,Transit,2013,2.31142430,0.00000150,-0.00000150,0,0.016000,,,1
HD 149143 b,Radial Velocity,2005,4.07182000,0.00001000,-0.00001000,0,0.016700,0.004000,-0.004000,0
GJ 3470 b,Radial Velocity,2012,3.33664870,0.00000430,-0.00000330,0,0.017000,0.016000,-0.012000,0
HD 12661 c,Radial Velocity,2002,1679.00000000,29.00000000,-29.00000000,0,0.017000,0.029000,-0.029000,0
HD 38801 b,Radial Velocity,2009,685.25000000,0.85000000,-0.85000000,0,0.017000,0.013000,-0.011000,0
Kepler-138 c,Transit,2014,13.78150000,0.00007000,-0.00009000,0,0.017000,0.008000,-0.007000,0
Kepler-43 b,Transit,2011,3.02409309,0.00000020,-0.00000020,0,0.017000,0.027000,-0.009000,0
WASP-124 b,Transit,2016,3.37265000,0.00000100,-0.00000100,0,0.017000,,,1
WASP-72 b,Transit,2012,2.21674210,0.00000810,-0.00000810,0,0.017000,,,1
WASP-73 b,Transit,2014,4.08722000,0.00022000,-0.00022000,0,0.017000,,,1
HAT-P-20 b,Transit,2010,2.87531870,0.00000180,-0.00000180,0,0.017100,0.001800,-0.001600,0
HAT-P-20 b,Transit,2010,2.87531694,0.00000019,-0.00000019,0,0.017200,0.001600,-0.001600,0
Kepler-91 b,Transit,2013,6.24669600,0.00004000,-0.00003200,0,0.018000,0.040000,-0.016000,0
TOI-5542 b,Transit,2022,75.12375000,0.00019000,-0.00018000,0,0.018000,0.026000,-0.013000,0
TrES-2 b,Transit,2006,2.47061892,0.00000018,-0.00000012,0,0.018000,0.023000,-0.013000,0
WASP-16 b,Transit,2009,3.11860680,0.00000120,-0.00000120,0,0.018000,,,1
WASP-32 b,Transit,2010,2.71865900,0.00000800,-0.00000800,0,0.018000,0.006500,-0.006500,0
WASP-32 b,Transit,2010,2.71865900,0.00000800,-0.00000800,0,0.018000,0.006500,-0.006500,0
WASP-95 b,Transit,2014,2.18467300,0.00000140,-0.00000140,0,0.018000,,,1
tau Boo b,Radial Velocity,1996,3.31280000,0.00020000,-0.00020000,0,0.018000,0.016000,-0.016000,0
PSR B1257+12 c,Pulsar Timing,1992,66.53600000,0.00100000,-0.00100000,0,0.018200,0.000900,-0.000900,0
WASP-4 b,Transit,2007,1.33822990,0.00000230,-0.00000210,0,0.018200,,,1
GJ 3512 c,Radial Velocity,2020,1599.60000000,1.10000000,-0.80000000,0,0.018300,0.000100,-0.000100,0
PSR B1257+12 c,Pulsar Timing,1992,66.54190000,0.00010000,-0.00010000,0,0.018600,0.000200,-0.000200,0
55 Cnc d,Radial Velocity,2002,4825.00000000,39.00000000,-39.00000000,0,0.019000,0.013000,-0.013000,0
BD-10 3166 b,Radial Velocity,2000,3.48777000,0.00011000,-0.00011000,0,0.019000,0.023000,-0.023000,0
HATS-5 b,Transit,2014,4.76338700,0.00001000,-0.00001000,0,0.019000,0.019000,-0.019000,0
HATS-56 b,Transit,2019,4.32479900,0.00002700,-0.00002700,0,0.019000,,,1
HD 45364 c,Radial Velocity,2008,345.43000000,0.54000000,-0.57000000,0,0.019000,0.011000,-0.010000,0
KOI-94 e,Transit,2013,54.32031000,0.00012000,-0.00012000,0,0.019000,0.230000,-0.230000,0
Kepler-423 b,Transit,2014,2.68432850,0.00000007,-0.00000007,0,0.019000,0.028000,-0.014000,0
TOI-1749 c,Transit,2021,4.49290000,0.00380000,-0.00270000,0,0.019000,,,1
TOI-2337 b,Transit,2022,2.99432000,0.00008000,-0.00008000,0,0.019000,0.017000,-0.017000,0
WASP-36 b,Transit,2011,1.53736530,0.00000260,-0.00000260,0,0.019000,,,1
WASP-71 b,Transit,2012,2.90367470,0.00000680,-0.00000680,0,0.019000,,,1
WASP-97 b,Transit,2014,2.07276000,0.00000100,-0.00000100,0,0.019000,,,1
XO-1 b,Transit,2006,3.94150685,0.00000018,-0.00000018,0,0.019000,,,1
55 Cnc b,Radial Velocity,1996,14.67000000,0.01000000,-0.01000000,0,0.019700,0.012000,-0.012000,0
HD 195019 b,Radial Velocity,1998,18.20122800,0.00008800,-0.00008900,0,0.019800,0.003200,-0.003200,0
55 Cnc b,Radial Velocity,1996,14.65300000,0.00060000,-0.00060000,0,0.020000,0.020000,-0.020000,0
55 Cnc c,Radial Velocity,2004,44.41750000,0.00730000,-0.00730000,0,0.020000,0.031000,-0.031000,0
55 Cnc d,Radial Velocity,2002,4909.00000000,30.00000000,-30.00000000,0,0.020000,0.008000,-0.008000,0
